Sample,Timestamp,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term
132,132.07,117.41,117.37,-0.04,48.6,-1.1,-47.5,-2.8,100.0,-0.0
133,133.05,119.78,119.82,0.04,58.8,1.1,-47.5,1.9,103.3,-0.0
134,134.10,122.42,122.44,0.01,52.9,0.4,-47.5,0.0,100.0,-0.0
135,135.08,124.87,124.88,0.01,51.2,0.4,-47.5,0.0,98.3,-0.0
136,136.05,127.32,127.31,-0.01,54.1,-0.4,-47.5,1.9,100.0,-0.0
137,137.11,129.96,129.97,0.01,57.9,0.4,-47.5,0.0,105.0,-0.0
138,138.08,132.37,132.40,0.02,55.4,0.7,-47.5,3.8,98.3,-0.0
139,139.06,134.85,134.85,0.00,57.5,0.0,-47.5,0.0,105.0,-0.0
140,140.11,137.44,137.47,0.04,52.9,1.1,-47.4,0.9,98.3,-0.0
141,141.10,139.89,139.93,0.04,55.8,1.1,-47.4,3.8,98.3,-0.0
142,142.06,142.30,142.34,0.04,50.2,1.1,-47.4,-1.9,98.3,-0.0
143,143.12,144.93,144.97,0.04,56.2,1.1,-47.3,-0.9,103.3,-0.0
144,144.08,147.40,147.40,0.00,51.0,0.0,-47.3,0.0,98.3,-0.0
145,145.05,149.84,149.82,-0.02,49.3,-0.7,-47.4,-1.0,98.3,-0.0
146,146.10,152.54,152.44,-0.10,48.9,-2.9,-47.4,1.0,98.3,-0.0
147,147.07,155.02,154.85,-0.16,50.8,-4.8,-47.6,-1.9,105.0,-0.0
148,148.04,157.57,157.29,-0.28,35.5,-8.4,-47.8,-6.6,98.3,-0.0
149,149.10,160.27,159.93,-0.33,35.6,-9.9,-48.1,-4.7,98.3,-0.0
150,150.06,162.71,162.35,-0.37,38.7,-11.0,-48.5,-1.9,100.0,-0.0
151,151.12,165.42,164.98,-0.44,39.4,-13.2,-48.9,-1.9,103.3,-0.0
152,152.09,167.88,167.41,-0.48,35.6,-14.3,-49.4,0.9,98.3,-0.0
153,153.06,170.30,169.83,-0.48,37.1,-14.3,-49.8,-3.8,105.0,-0.0
154,154.10,172.85,172.45,-0.40,41.7,-12.1,-50.3,5.7,98.3,-0.0
155,155.09,175.28,174.90,-0.39,36.9,-11.7,-50.7,0.9,98.3,-0.0
156,156.05,177.64,177.32,-0.32,44.7,-9.5,-51.0,1.9,103.3,-0.0
157,157.11,180.25,179.96,-0.29,35.4,-8.8,-51.3,-2.8,98.3,-0.0
158,158.08,182.60,182.39,-0.22,46.9,-6.6,-51.5,0.0,105.0,-0.0
159,159.06,185.03,184.83,-0.21,35.7,-6.2,-51.7,-4.7,98.3,-0.0
160,160.11,187.59,187.46,-0.13,44.4,-4.0,-51.8,1.9,98.3,-0.0
161,161.09,189.99,189.91,-0.09,48.3,-2.6,-51.9,2.8,100.0,-0.0
162,162.06,192.43,192.34,-0.10,47.8,-2.9,-52.1,2.8,100.0,-0.0
163,163.04,194.89,194.78,-0.10,42.3,-2.9,-52.2,-0.9,98.3,-0.0
164,164.09,197.52,197.41,-0.11,45.3,-3.3,-52.3,0.9,100.0,-0.0
165,165.06,199.98,199.84,-0.13,45.4,-4.0,-52.4,1.9,100.0,-0.0
166,166.11,202.66,202.47,-0.20,40.6,-5.9,-52.6,-0.9,100.0,-0.0
167,167.09,205.11,204.91,-0.21,37.2,-6.2,-52.8,-3.8,100.0,-0.0
168,168.06,207.57,207.35,-0.22,40.4,-6.6,-53.0,0.0,100.0,-0.0
169,169.04,209.97,209.79,-0.18,44.1,-5.5,-53.2,2.8,100.0,-0.0
170,170.10,212.60,212.43,-0.17,40.5,-5.1,-53.4,-0.9,100.0,-0.0
171,171.06,214.98,214.84,-0.13,41.8,-4.0,-53.5,1.0,98.3,-0.0
172,172.04,217.37,217.28,-0.09,46.6,-2.6,-53.7,2.8,100.0,-0.0
173,173.10,219.97,219.93,-0.04,56.3,-1.1,-53.7,2.8,108.3,-0.0
174,174.06,222.31,222.34,0.02,48.2,0.7,-53.8,2.9,98.3,-0.0
175,175.12,224.93,224.97,0.04,55.2,1.1,-53.7,2.8,105.0,-0.0
176,176.09,227.34,227.40,0.06,49.3,1.8,-53.7,2.8,98.3,-0.0
177,177.07,229.79,229.85,0.06,52.1,1.8,-53.6,-2.8,106.7,-0.0
178,178.04,232.12,232.28,0.16,53.4,4.8,-53.5,3.8,98.3,-0.0
179,179.10,234.88,234.93,0.05,42.7,1.5,-53.4,-3.8,98.3,-0.0
180,180.06,237.29,237.35,0.06,47.6,1.8,-53.3,-0.9,100.0,-0.0
181,181.12,239.99,239.98,-0.01,42.6,-0.4,-53.3,-3.8,100.0,-0.0
182,182.09,242.41,242.40,0.00,45.1,0.0,-53.3,0.0,98.3,-0.0
183,183.07,244.89,244.86,-0.02,48.4,-0.7,-53.3,-0.9,103.3,-0.0
184,184.04,247.31,247.28,-0.04,43.9,-1.1,-53.3,0.0,98.3,-0.0
185,185.09,249.96,249.90,-0.07,42.7,-2.2,-53.4,0.0,98.3,-0.0
186,186.05,252.44,252.32,-0.12,40.8,-3.7,-53.5,-3.8,101.7,-0.0
187,187.11,255.07,254.96,-0.11,42.4,-3.3,-53.6,0.9,98.3,-0.0
188,188.08,257.51,257.39,-0.12,45.9,-3.7,-53.8,0.0,103.3,-0.0
189,189.06,259.92,259.84,-0.09,46.4,-2.6,-53.8,2.8,100.0,-0.0
190,190.11,262.57,262.47,-0.11,43.0,-3.3,-54.0,1.9,98.3,-0.0
191,191.09,265.04,264.92,-0.12,37.8,-3.7,-54.0,-2.8,98.3,-0.0
192,192.06,267.42,267.34,-0.09,42.4,-2.6,-54.1,-0.9,100.0,-0.0
193,193.11,270.03,269.95,-0.07,41.9,-2.2,-54.2,0.0,98.3,-0.0
194,194.08,272.47,272.39,-0.09,40.5,-2.6,-54.3,-0.9,98.3,-0.0
195,195.06,274.93,274.83,-0.10,46.0,-2.9,-54.4,0.0,103.3,-0.0
196,196.11,277.54,277.46,-0.09,46.7,-2.6,-54.5,3.8,100.0,-0.0
197,197.09,280.05,279.90,-0.15,40.9,-4.4,-54.7,0.0,100.0,-0.0
198,198.06,282.47,282.33,-0.15,38.0,-4.4,-54.8,-2.8,100.0,-0.0
199,199.12,285.12,284.99,-0.13,45.1,-4.0,-54.9,-0.9,105.0,-0.0
200,200.09,287.56,287.42,-0.15,38.9,-4.4,-55.1,0.0,98.3,-0.0
201,201.10,290.01,289.93,-0.09,48.1,-2.6,-55.2,7.5,98.3,-0.0
202,202.06,292.44,292.34,-0.10,49.6,-2.9,-55.3,2.8,105.0,-0.0
203,203.04,294.86,294.79,-0.07,47.4,-2.2,-55.4,0.0,105.0,-0.0
204,204.09,297.44,297.42,-0.01,45.4,-0.4,-55.4,2.8,98.3,-0.0
205,205.08,299.88,299.87,-0.01,46.3,-0.4,-55.4,3.8,98.3,-0.0
206,206.05,302.25,302.32,0.07,49.8,2.2,-55.4,4.7,98.3,-0.0
207,207.11,304.87,304.98,0.11,56.5,3.3,-55.3,1.9,106.7,-0.0
208,208.08,307.24,307.39,0.16,50.8,4.8,-55.2,2.8,98.3,-0.0
209,209.06,309.68,309.85,0.17,53.4,5.1,-55.0,0.0,103.3,-0.0
210,210.11,312.34,312.47,0.12,45.2,3.7,-54.8,-1.9,98.3,-0.0
211,211.09,314.76,314.92,0.16,51.0,4.8,-54.7,0.9,100.0,-0.0
212,212.06,317.18,317.35,0.17,48.0,5.1,-54.6,-0.9,98.3,-0.0
213,213.04,319.65,319.80,0.15,51.8,4.4,-54.4,1.9,100.0,-0.0
214,214.10,322.35,322.43,0.07,50.1,2.2,-54.3,-2.8,105.0,-0.0
215,215.06,324.76,324.84,0.09,50.2,2.6,-54.2,1.9,100.0,-0.0
216,216.04,327.16,327.28,0.12,54.2,3.7,-54.2,4.7,100.0,-0.0
217,217.10,329.85,329.94,0.09,61.5,2.6,-54.1,4.7,108.3,-0.0
218,218.06,332.26,332.34,0.09,49.5,2.6,-54.1,1.0,100.0,-0.0
219,219.12,334.85,334.98,0.13,59.8,4.0,-53.9,4.7,105.0,-0.0
220,220.09,337.30,337.42,0.11,52.2,3.3,-53.9,2.8,100.0,-0.0
221,221.07,339.79,339.87,0.07,50.6,2.2,-53.8,-2.8,105.0,-0.0
222,222.05,342.19,342.30,0.11,50.6,3.3,-53.7,0.9,100.0,-0.0
223,223.11,344.87,344.95,0.07,46.0,2.2,-53.6,-0.9,98.3,-0.0
224,224.08,347.31,347.39,0.07,49.6,2.2,-53.5,0.9,100.0,-0.0
225,225.05,349.80,349.81,0.00,42.7,0.0,-53.5,-3.8,100.0,-0.0
226,226.10,352.48,352.44,-0.04,47.6,-1.1,-53.5,-2.8,105.0,-0.0
227,227.07,354.98,354.87,-0.11,42.7,-3.3,-53.6,-3.8,103.3,-0.0
228,228.04,357.53,357.29,-0.24,29.7,-7.3,-53.7,-7.6,98.3,-0.0
229,229.09,360.19,359.91,-0.29,31.7,-8.8,-54.0,-3.8,98.3,-0.0
230,230.06,362.63,362.33,-0.31,37.1,-9.2,-54.3,-2.8,103.3,-0.0
231,231.12,365.36,364.97,-0.38,29.5,-11.4,-54.7,-2.8,98.3,-0.0
232,232.09,367.75,367.41,-0.34,42.6,-10.2,-55.0,2.8,105.0,-0.0
233,233.05,370.15,369.82,-0.33,40.0,-9.9,-55.3,1.9,103.3,-0.0
234,234.11,372.71,372.45,-0.26,40.9,-7.7,-55.7,0.9,103.3,-0.0
235,235.07,375.06,374.86,-0.20,49.2,-5.9,-55.9,7.6,103.3,-0.0
236,236.04,377.40,377.29,-0.12,41.5,-3.7,-56.0,2.8,98.3,-0.0
237,237.09,379.94,379.90,-0.05,42.7,-1.5,-56.1,1.9,98.3,-0.0
238,238.05,382.34,382.32,-0.01,49.7,-0.4,-56.1,2.8,103.3,-0.0
239,239.11,384.95,384.96,0.01,47.1,0.4,-56.1,2.8,100.0,-0.0
240,240.08,387.29,387.40,0.10,58.4,2.9,-56.1,6.6,105.0,-0.0
241,241.06,389.78,389.84,0.05,42.6,1.5,-56.0,-2.8,100.0,-0.0
242,242.11,392.40,392.46,0.07,44.6,2.2,-55.9,0.0,98.3,-0.0
243,243.09,394.80,394.91,0.11,46.7,3.3,-55.8,0.9,98.3,-0.0
244,244.06,397.29,397.34,0.05,48.8,1.5,-55.8,-1.9,105.0,-0.0
245,245.11,399.93,399.96,0.02,43.3,0.7,-55.8,0.0,98.3,-0.0
246,246.08,402.38,402.39,0.00,44.4,0.0,-55.8,1.9,98.3,-0.0
247,247.06,404.88,404.84,-0.05,41.4,-1.5,-55.8,-4.7,103.3,-0.0
248,248.11,407.48,407.46,-0.02,42.5,-0.7,-55.8,-0.9,100.0,-0.0
249,249.09,409.92,409.91,-0.01,42.9,-0.4,-55.8,-0.9,100.0,-0.0
250,250.06,412.34,412.34,0.00,41.6,0.0,-55.8,-0.9,98.3,-0.0
251,251.04,414.77,414.79,0.02,46.8,0.7,-55.8,1.9,100.0,-0.0
252,252.10,417.40,417.43,0.04,51.1,1.1,-55.8,-0.9,106.7,-0.0
253,253.06,419.81,419.84,0.02,46.0,0.7,-55.7,1.0,100.0,-0.0
254,254.12,422.46,422.48,0.01,41.9,0.4,-55.7,-2.8,100.0,-0.0
255,255.10,424.90,424.93,0.02,50.6,0.7,-55.6,-2.8,108.3,-0.0
256,256.06,427.27,427.33,0.06,46.5,1.8,-55.6,1.9,98.3,-0.0
257,257.12,429.96,429.98,0.02,50.2,0.7,-55.5,0.0,105.0,-0.0
258,258.09,432.34,432.41,0.07,48.6,2.2,-55.5,1.9,100.0,-0.0
259,259.06,434.78,434.84,0.06,45.5,1.8,-55.4,-0.9,100.0,-0.0
260,260.04,437.26,437.28,0.02,49.4,0.7,-55.4,-0.9,105.0,-0.0
261,261.10,439.95,439.94,-0.01,46.4,-0.4,-55.4,-2.8,105.0,-0.0
262,262.07,442.41,442.37,-0.04,43.1,-1.1,-55.4,-3.8,103.3,-0.0
263,263.05,444.86,444.82,-0.04,46.8,-1.1,-55.4,0.0,103.3,-0.0
264,264.11,447.49,447.45,-0.04,48.7,-1.1,-55.5,1.9,103.3,-0.0
265,265.07,449.95,449.86,-0.09,42.4,-2.6,-55.5,-2.8,103.3,-0.0
266,266.04,452.36,452.29,-0.07,39.6,-2.2,-55.6,-0.9,98.3,-0.0
267,267.09,454.98,454.90,-0.09,38.2,-2.6,-55.7,-1.9,98.3,-0.0
268,268.05,457.43,457.32,-0.11,42.6,-3.3,-55.8,0.0,101.7,-0.0
269,269.11,460.06,459.96,-0.10,39.5,-2.9,-55.9,0.0,98.3,-0.0
270,270.08,462.45,462.39,-0.06,49.1,-1.8,-56.0,1.9,105.0,-0.0
271,271.06,464.93,464.83,-0.10,40.3,-2.9,-56.0,0.9,98.3,-0.0
272,272.11,467.54,467.46,-0.09,41.5,-2.6,-56.1,1.9,98.3,-0.0
273,273.09,469.98,469.91,-0.07,41.8,-2.2,-56.2,1.9,98.3,-0.0
274,274.06,472.38,472.34,-0.04,43.8,-1.1,-56.2,2.8,98.3,-0.0
275,275.04,474.87,474.79,-0.09,38.3,-2.6,-56.3,-2.8,100.0,-0.0
276,276.09,477.44,477.42,-0.02,44.8,-0.7,-56.4,1.9,100.0,-0.0
277,277.06,479.88,479.84,-0.05,39.5,-1.5,-56.4,-1.0,98.3,-0.0
278,278.11,482.50,482.47,-0.02,44.7,-0.7,-56.4,1.9,100.0,-0.0
279,279.09,484.95,484.92,-0.04,40.5,-1.1,-56.5,-1.9,100.0,-0.0
280,280.06,487.39,487.35,-0.05,42.0,-1.5,-56.5,0.0,100.0,-0.0
281,281.04,489.84,489.79,-0.05,41.3,-1.5,-56.5,0.9,98.3,-0.0
282,282.10,492.43,492.43,0.00,53.9,0.0,-56.6,3.8,106.7,-0.0
283,283.06,494.85,494.84,-0.01,42.3,-0.4,-56.6,1.0,98.3,-0.0
284,284.11,497.49,497.48,-0.01,42.1,-0.4,-56.6,-0.9,100.0,-0.0
285,285.10,499.95,499.93,-0.02,50.1,-0.7,-56.6,-0.9,108.3,-0.0
286,286.06,502.29,502.33,0.04,46.6,1.1,-56.6,3.8,98.3,-0.0
287,287.12,504.97,504.98,0.01,49.7,0.4,-56.6,0.9,105.0,-0.0
288,288.09,507.37,507.41,0.04,43.6,1.1,-56.6,-0.9,100.0,-0.0
289,289.06,509.84,509.84,0.00,44.4,0.0,-56.5,0.9,100.0,-0.0
290,290.04,512.21,512.28,0.07,53.5,2.2,-56.5,2.8,105.0,-0.0
291,291.11,514.93,514.95,0.02,51.5,0.7,-56.4,-2.8,110.0,-0.0
292,292.07,517.33,517.37,0.04,44.9,1.1,-56.4,1.9,98.3,-0.0
293,293.04,519.76,519.78,0.01,41.4,0.4,-56.3,-1.0,98.3,-0.0
294,294.09,522.36,522.40,0.04,45.0,1.1,-56.3,1.9,98.3,-0.0
295,295.06,524.77,524.82,0.05,45.2,1.5,-56.3,0.0,100.0,-0.0
296,296.10,527.39,527.44,0.05,44.3,1.5,-56.2,-1.0,100.0,-0.0
297,297.07,529.77,529.86,0.09,44.7,2.6,-56.2,0.0,98.3,-0.0
